年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送,id
2016,Ｊ２,第１節第１日,02/28(日),13:03,金沢,1-2,長崎,石川西部,4,020,スカパー！／スカパー！プレミアムサービス,18201
2016,Ｊ２,第１節第１日,02/28(日),13:03,東京Ｖ,1-0,札幌,味スタ,9,272,スカパー！／スカパー！プレミアムサービス,18200
2016,Ｊ２,第１節第１日,02/28(日),13:04,清水,0-0,愛媛,アイスタ,15,453,スカパー！／スカパー！プレミアムサービス／テレビ静岡,18202
2016,Ｊ２,第１節第１日,02/28(日),13:04,山口,1-1,岡山,維新公園,11,308,スカパー！／スカパー！プレミアムサービス／ＮＨＫ山口／ＮＨＫ岡山,18203
2016,Ｊ２,第１節第１日,02/28(日),13:05,熊本,1-0,松本,うまスタ,8,253,スカパー！／スカパー！プレミアムサービス／ＮＨＫ熊本／ＮＨＫ長野,18204
2016,Ｊ２,第１節第１日,02/28(日),14:03,横浜FC,0-1,讃岐,ニッパツ,9,929,スカパー！／スカパー！プレミアムサービス,18207
2016,Ｊ２,第１節第１日,02/28(日),14:03,町田,0-1,Ｃ大阪,町田,10,112,スカパー！／スカパー！プレミアムサービス,18206
2016,Ｊ２,第１節第１日,02/28(日),14:04,群馬,4-0,岐阜,正田スタ,8,418,スカパー！／スカパー！プレミアムサービス／群馬テレビ,18205
2016,Ｊ２,第１節第１日,02/28(日),16:03,北九州,1-0,山形,本城,4,647,スカパー！／スカパー！プレミアムサービス,18210
2016,Ｊ２,第１節第１日,02/28(日),16:03,千葉,2-1,徳島,フクアリ,12,063,スカパー！／スカパー！プレミアムサービス,18208
2016,Ｊ２,第１節第１日,02/28(日),16:04,京都,1-1,水戸,西京極,6,983,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都（録）,18209
2016,Ｊ２,第２節第１日,03/06(日),13:03,水戸,0-1,Ｃ大阪,Ｋｓスタ,10,420,スカパー！／スカパー！プレミアムサービス,18211
2016,Ｊ２,第２節第１日,03/06(日),13:03,讃岐,2-1,東京Ｖ,ピカスタ,2,858,スカパー！／スカパー！プレミアムサービス,18212
2016,Ｊ２,第２節第１日,03/06(日),14:03,岡山,2-1,千葉,Ｃスタ,9,288,スカパー！／スカパー！プレミアムサービス,18214
2016,Ｊ２,第２節第１日,03/06(日),14:04,群馬,2-1,金沢,正田スタ,3,236,スカパー！／スカパー！プレミアムサービス／群馬テレビ,18213
2016,Ｊ２,第２節第１日,03/06(日),15:04,愛媛,1-1,山形,ニンスタ,5,084,スカパー！／スカパー！プレミアムサービス／ＮＨＫ松山,18215
2016,Ｊ２,第２節第１日,03/06(日),15:33,北九州,0-1,山口,本城,3,812,スカパー！／スカパー！プレミアムサービス／ＮＨＫ北九州／ＮＨＫ福岡／ＮＨＫ山口,18216
2016,Ｊ２,第２節第１日,03/06(日),16:03,長崎,0-3,清水,長崎県立,6,286,スカパー！／スカパー！プレミアムサービス,18219
2016,Ｊ２,第２節第１日,03/06(日),16:04,徳島,0-1,熊本,鳴門大塚,4,413,スカパー！／スカパー！プレミアムサービス,18218
2016,Ｊ２,第２節第１日,03/06(日),16:04,岐阜,0-4,札幌,長良川,4,898,スカパー！／スカパー！プレミアムサービス／岐阜放送,18217
2016,Ｊ２,第２節第１日,03/06(日),17:03,町田,1-1,京都,町田,3,805,スカパー！／スカパー！プレミアムサービス,18220
2016,Ｊ２,第２節第１日,03/06(日),17:03,横浜FC,0-2,松本,ニッパツ,4,669,スカパー！／スカパー！プレミアムサービス,18221
2016,Ｊ２,第３節第１日,03/12(土),16:05,Ｃ大阪,1-0,群馬,金鳥スタ,13,495,スカパー！／スカパー！プレミアムサービス,18222
2016,Ｊ２,第３節第２日,03/13(日),13:03,岡山,2-2,京都,Ｃスタ,9,098,スカパー！／スカパー！プレミアムサービス／テレビせとうち,18225
2016,Ｊ２,第３節第２日,03/13(日),13:03,札幌,1-1,愛媛,札幌ド,20,012,スカパー！／スカパー！プレミアムサービス／北海道文化放送,18223
2016,Ｊ２,第３節第２日,03/13(日),13:04,徳島,2-2,山形,鳴門大塚,4,358,スカパー！／スカパー！プレミアムサービス,18226
2016,Ｊ２,第３節第２日,03/13(日),13:04,清水,0-0,松本,アイスタ,13,078,スカパー！／スカパー！プレミアムサービス／静岡放送,18224
2016,Ｊ２,第３節第２日,03/13(日),14:04,岐阜,1-0,北九州,長良川,3,215,スカパー！／スカパー！プレミアムサービス／ＮＨＫ岐阜,18227
2016,Ｊ２,第３節第２日,03/13(日),15:03,千葉,1-0,横浜FC,フクアリ,9,419,スカパー！／スカパー！プレミアムサービス,18228
2016,Ｊ２,第３節第２日,03/13(日),16:03,熊本,1-0,東京Ｖ,うまスタ,5,902,スカパー！／スカパー！プレミアムサービス,18232
2016,Ｊ２,第３節第２日,03/13(日),16:03,金沢,0-0,水戸,石川西部,2,929,スカパー！／スカパー！プレミアムサービス,18229
2016,Ｊ２,第３節第２日,03/13(日),16:04,讃岐,2-2,長崎,ピカスタ,2,452,スカパー！／スカパー！プレミアムサービス,18231
2016,Ｊ２,第３節第２日,03/13(日),16:04,山口,0-2,町田,維新公園,4,711,スカパー！／スカパー！プレミアムサービス,18230
2016,Ｊ２,第４節第１日,03/20(日・祝),13:03,水戸,2-3,岡山,Ｋｓスタ,5,193,スカパー！／スカパー！プレミアムサービス,18234
2016,Ｊ２,第４節第１日,03/20(日・祝),13:03,横浜FC,2-0,山口,ニッパツ,3,122,スカパー！／スカパー！プレミアムサービス,18236
2016,Ｊ２,第４節第１日,03/20(日・祝),13:03,東京Ｖ,1-0,徳島,味スタ,3,813,スカパー！／スカパー！プレミアムサービス,18235
2016,Ｊ２,第４節第１日,03/20(日・祝),13:04,山形,0-1,Ｃ大阪,ＮＤスタ,12,603,スカパー！／スカパー！プレミアムサービス,18233
2016,Ｊ２,第４節第１日,03/20(日・祝),13:04,清水,0-2,札幌,アイスタ,12,624,スカパー！／スカパー！プレミアムサービス,18237
2016,Ｊ２,第４節第１日,03/20(日・祝),14:03,松本,0-1,千葉,松本,17,284,スカパー！／スカパー！プレミアムサービス／信越放送,18239
2016,Ｊ２,第４節第１日,03/20(日・祝),14:04,群馬,1-2,讃岐,正田スタ,3,195,スカパー！／スカパー！プレミアムサービス,18238
2016,Ｊ２,第４節第１日,03/20(日・祝),16:03,北九州,1-1,熊本,本城,3,951,スカパー！／スカパー！プレミアムサービス,18243
